question,answer,explanation,a,b,c,d,e,f,source
"Which of the following are the unitary
features of Indian Constitution?",d,"• 
Unitary state is a system of political organization in which most or all of the governing power resides in a 
centralized government, in contrast to a federal state. 
• 
Despite being a federation Indian constitution possesses many unitary features such as 
o 
Single Constitution 
▪ 
Usually, in a federation, the states have the right to frame their own Constitution separate from 
that of the Centre. In India, on the contrary, no such power is given to the states. The Constitution 
of India embodies not only the Constitution of the Centre but also those of the states. Both the 
Centre and the states must operate within this single-frame. 
o 
Emergency Provisions 
▪ 
The Constitution stipulates three types of emergencies–national, state and financial. During an 
emergency, the Central government becomes all powerful and the states go into the total control 
of the Centre. It converts the federal structure into a unitary one without a formal amendment of 
the Constitution. This kind of transformation is not found in any other federation. 
o 
All-India Services 
▪ 
In India, the Centre and the states have their separate public services. But, in addition, there are 
all-India services (IAS, IPS, and IFS) which are common to both the Centre and the states. The 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
10                                                                              www.visionias.in                                                   ©Vision IAS  
members of these services are recruited and trained by the Centre which also possess ultimate 
control over them. Thus, these services violate the principle of federalism under the Constitution. 
o 
Appointment of Governor 
▪ 
The governor, who is the head of the state, is appointed by the President. He holds office during 
the pleasure of the President. He also acts as an agent of the Centre. Through him, the Centre 
exercises control over the states. 
o 
Integrated Election Machinery 
▪ 
The Election Commission conducts elections not only to the Central legislature but also to the 
state legislatures. But, this body is constituted by the President and the states have no say in this 
matter. The position is same with regard to the removal of its members as well 
o 
Veto Over State Bills 
o 
Parliament’s Authority Over State List 
o 
Integrated Audit Machinery 
o 
Integrated Judiciary 
o 
No Equality of State Representation 
• 
Hence option (d) is the correct answer.",,,,,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which one of the following rights abolished
untouchability and prohibits its practice as a
fundamental right?
(a) Right to constitutional remedies
(b) Right to equality
(c) Right to freedom
(d) Right against exploitation",b,"• 
Fundamental Rights Consists of : 
• 
Right to equality (Articles 14–18) 
o 
Equality before the law and equal protection of laws (Article 14). 
o 
Prohibition of discrimination on grounds of religion, race, caste, sex or place of birth (Article 15). 
o 
Equality of opportunity in matters of public employment (Article 16). 
o 
Abolition of untouchability and prohibition of its practice (Article 17). Hence option (b) is the 
correct answer. 
o 
Abolition of titles except military and academic (Article 18). 
• 
Right to freedom (Articles 19–22) 
o 
Protection of six rights regarding freedom of: 
▪ 
speech and expression, 
▪ 
assembly, 
▪ 
association, 
▪ 
movement, 
▪ 
residence, and 
▪ 
profession (Article 19). 
o 
Protection in respect of conviction for offences (Article 20). 
o 
Protection of life and personal liberty (Article 21). 
o 
Right to elementary education (Article 21A). 
o 
Protection against arrest and detention in certain cases (Article 22). 
• 
Right against exploitation (Articles 23–24) 
o 
Prohibition of traffic in human beings and forced labour (Article 23). 
o 
Prohibition of employment of children in factories, etc. (Article 24). 
• 
Right to freedom of religion (Article 25–28) 
o 
Freedom of conscience and free profession, practice and propagation of religion (Article 25). 
o 
Freedom to manage religious affairs (Article 26). 
o 
Freedom from payment of taxes for the promotion of any religion (Article 27). 
o 
Freedom from attending religious instruction or worship in certain educational institutions (Article 
28). 
• 
Cultural and educational rights (Articles 29–30) 
o 
Protection of language, script and culture of minorities (Article 29). 
o 
Right of minorities to establish and administer educational institutions (Article 30). 
• 
Right to constitutional remedies (Article 32) 
o 
Right to move the Supreme Court for the enforcement of fundamental rights including the writs of (i) 
habeas corpus, (ii) mandamus, (iii) prohibition, (iv) certiorari, and (v) quo warranto (Article 32).",Right to constitutional remedies,Right to equality,Right to freedom,Right against exploitation,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements regarding
the 
State 
Human 
Rights 
Commission
(SHRC):",a,"• 
The Protection of Human Rights Act of 1993 provides for the creation of not only the National Human 
Rights Commission but also a State Human Rights Commission at the state level. A State Human 
Rights Commission can inquire into violation of human rights only in respect of subjects mentioned in 
the State List (List-II) and the Concurrent List (List-III) of the Seventh Schedule of the Constitution. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
11                                                                              www.visionias.in                                                   ©Vision IAS  
• 
The Commission may take any of the following steps during or upon the completion of an inquiry: 
o 
it may recommend to the state government or authority to make payment of compensation or damages 
to the victim; 
o 
it may recommend to the state government or authority the initiation of proceedings for prosecution or 
any other action against the guilty public servant; 
o 
it may recommend to the state government or authority for the grant of immediate interim relief to the 
victim; 
o 
it may approach the Supreme Court or the state high court for the necessary directions, orders or writs 
• 
From the above, It’s clear that the functions of the commission are mainly recommendatory in nature. It 
has no power to punish the violators of human rights, nor to award any relief including monetary 
relief to the victim. Notably, its recommendations are not binding on the state government or authority. 
But, it should be informed about the action taken on its recommendations within one month. Hence, 
statement 1 is correct. 
• 
The Commission submits its annual or special reports to the state government. These reports are laid 
before the state legislature, along with a memorandum of action taken on the recommendations of the 
Commission and the reasons for non-acceptance of any of such recommendations. Hence, statement 2 is 
not correct.",,,,,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which one of the following is the best
description of 'Tidal Disruption Event', that
was seen in the news recently?
(a) It is a lapse in time interval between two
diurnal tides.
(b) It is a reversal in magnetism of Earth.
(c) It is a gravity anomaly on surface of
moon.
(d) It is a destruction of a star by a black
hole.
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
7                                                             www.visionias.in                                                                                      ©Vision IAS",d,"• 
Recently, telescopes at National Aeronautics and Space Administration (NASA) observed a massive 
black hole devouring a star. The incident was the fifth-closest example of a black hole destroying a star 
and occurred 250 million light-years from the earth, in the centre of another galaxy. 
• 
The astronomical phenomenon of the destruction of a star by a black hole is called a Tidal Disruption 
Event (TDE).  
• 
During a TDE, the tidal force of a black hole disrupts the star in vicinity. While about half of the star’s 
debris continues on its original path, the other half is attracted by the black hole’s gravitational pull. The 
gradual growth of this material bound to the black hole produces a short-lived flare of emission, known 
as a tidal disruption event. 
• 
Hence, option (d) is the correct answer.",It is a lapse in time interval between two,It is a reversal in magnetism of Earth.,It is a gravity anomaly on surface of,It is a destruction of a star by a black,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Articles 358 and 359 of the Indian 
Constitution deal with which of the 
following situations? 
(a) Proclamation of National Emergency 
under Article 352 
(b) Financial emergency under Article 360 
(c) President's rule under Article 356 
(d) President's rule under Article 365",a,"• 
Articles 358 and 359 describe the effect of a National Emergency (Article 352) on Fundamental 
Rights. Article 358 deals with the suspension of the Fundamental Rights guaranteed by Article 19, 
while Article 359 deals with the suspension of other Fundamental Rights (except those guaranteed by 
Articles 20 and 21). Hence option (a) is the correct answer. 
• 
The differences between Articles 358 and 359 can be summarised as follows: 
o 
Article 358 is confined to Fundamental Rights under Article 19 only whereas Article 359 
extends to all those Fundamental Rights whose enforcement is suspended by the Presidential 
Order.  
o 
Article 358 automatically suspends the fundamental rights under Article 19 as soon as the emergency 
is declared. On the other hand, Article 359 does not automatically suspend any Fundamental Right. It 
only empowers the president to suspend the enforcement of the specified Fundamental Rights. 
o 
Article 358 operates only in case of External Emergency (that is, when the emergency is declared 
on the grounds of war or external aggression) and not in the case of Internal Emergency (ie, when the 
Emergency is declared on the ground of armed rebellion). Article 359, on the other hand, operates in 
case of both External Emergency as well as Internal Emergencies.  
o 
Article 358 suspends Fundamental Rights under Article 19 for the entire duration of the Emergency 
while Article 359 suspends the enforcement of Fundamental Rights for a period specified by the 
president which may either be the entire duration of the Emergency or a shorter period. 
o 
Article 358 extends to the entire country whereas Article 359 may extend to the entire country 
or a part of it.  
o 
Article 358 suspends Article 19 completely while Article 359 does not empower the suspension of the 
enforcement of Articles 20 and 21. 
o 
Article 358 enables the State to make any law or take any executive action inconsistent with 
Fundamental Rights under Article 19 while Article 359 enables the State to make any law or take any 
executive action inconsistent with those Fundamental Rights whose enforcement is suspended by the 
Presidential Order. 
 
 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
12                                                                              www.visionias.in                                                   ©Vision IAS",Proclamation of National Emergency ,Financial emergency under Article 360 ,President's rule under Article 356 ,President's rule under Article 365 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following services, at present, 
are regulated under Information Technology 
(Intermediary Guidelines and Digital Media 
Ethics Code) Rules, 2021? 
1. Social media sites 
2. Over-the-top (OTT) streaming services 
3. Online gaming services 
4. Digital news sites 
Select the correct answer using the code 
given below. 
(a) 1 and 2 only 
(b) 3 and 4 only 
(c) 1, 2 and 4 only 
(d) 1, 2, 3 and 4",c,"• 
Information Technology (Intermediary Guidelines and Digital Media Ethics Code) Rules 
2021 broadly deal with Social media sites, Digital news sites, and Over-the-top (OTT) streaming 
platforms. Hence options 1, 2, and 4 are correct. 
• 
It 
covers 
guidelines 
on Social 
Media 
Intermediaries, Grievance 
Appellate 
Committees, 
ensuring online safety & dignity of users, and educating users about Privacy Policies. The Ministry of 
Information and Broadcasting is responsible for the formulation of an oversight mechanism to ensure the 
same. 
• 
Recently, draft rules for online gaming, were released by the Ministry of Electronics and IT (MeitY). 
Online games will have to register with a self-regulatory body, and only games that are cleared by the 
body will be allowed to legally operate in India. Online gaming companies will not be allowed to 
engage in betting on the outcome of games, as per the proposed rules. Hence option 3 is not correct. 
• 
The proposed rules, aimed at safeguarding users against potential harm from skill-based games, have been 
introduced as an amendment to the Information Technology (Intermediary Guidelines and Digital Media 
Ethics Code) Rules, 2021.",1 and 2 only ,3 and 4 only ,"1, 2 and 4 only ","1, 2, 3 and 4 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements: 
1. In the USA, a citizen by birth, as well as 
a naturalized citizen, is eligible for the 
office of President. 
2. In India, only a citizen by birth and not a 
naturalized citizen is eligible for the 
office of President. 
Which of the statements given above 
is/are not correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",c,"• 
One of the prima facie differences between the dual citizenship provisions is that the Indian constitution 
actively prevents dual citizenship while the constitution of the United States does not mention any 
restriction on it 
• 
In India, both a citizen by birth as well as a naturalized citizen is eligible for the office of 
President. Hence, statement 2 is not correct. 
• 
while in the USA, only a citizen by birth and not a naturalized citizen is eligible for the office of 
President. Hence, statement 1 is not correct.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"In the context of the Indian Constitution, 
consider the following statements regarding 
fundamental duties:  
1. Fundamental Duties are confined to 
Indian citizens only. 
2. Constitution does not provide any legal 
sanctions against their violation. 
Which of the statements given above is/are 
correct?  
(a) 1 only  
(b) 2 only  
(c) Both 1 and 2  
(d) Neither 1 nor 2",c,"• 
The characteristics of the Fundamental Duties: 
o 
Some of them are moral duties while others are civic duties. For instance, cherishing noble ideals of 
freedom struggle is a moral precept and respecting the Constitution, National Flag and National 
Anthem is a civic duty. 
o 
They refer to such values which have been a part of the Indian tradition, mythology, religions and 
practices. In other words, they essentially contain just a codification of tasks integral to the Indian 
way of life. 
o 
Unlike some of the Fundamental Rights which extend to all persons whether citizens or foreigners, 
the Fundamental Duties are confined to citizens only and do not extend to foreigners. Hence 
statement 1 is correct. 
o 
Like the Directive Principles, the fundamental duties are also non-justiciable. 
o 
The Constitution does not provide for their direct enforcement by the courts. Moreover, there is 
no legal sanction against their violation. However, the Parliament is free to enforce them by 
suitable legislation. Hence statement 2 is correct.",1 only  ,2 only  ,Both 1 and 2  ,Neither 1 nor 2  ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following are the Fundamental 
Duties under part IVA of the Constitution of 
India? 
1. To develop the spirit of inquiry and 
reform.  
2. To respect the National Flag and the 
National Anthem. 
3. To strive towards excellence in all 
spheres of individual and collective 
activity.  
4. To cast a vote. 
Select the correct answer using the code 
given below.  
(a) 1 and 2 only  
(b) 1, 2 and 3 only 
(c) 1 and 4 only  
(d) 2 and 4 only  
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
8                                                             www.visionias.in                                                                                      ©Vision IAS",b,"• 
According to Article 51A, it shall be the duty of every citizen of India: 
o 
to abide by the Constitution and respect its ideals and institutions, the National Flag, and the 
National Anthem; 
o 
to cherish and follow the noble ideals that inspired the national struggle for freedom; 
o 
to uphold and protect the sovereignty, unity, and integrity of India; 
o 
to defend the country and render national service when called upon to do so; 
o 
to promote harmony and the spirit of common brotherhood amongst all the people of India 
transcending religious, linguistic, and regional or sectional diversities and to renounce practices 
derogatory to the dignity of women; 
o 
to value and preserve the rich heritage of the country’s composite culture; 
o 
to protect and improve the natural environment including forests, lakes, rivers, and wildlife, and to 
have compassion for living creatures; 
o 
to develop scientific temper, humanism, and the spirit of inquiry and reform; 
o 
to safeguard public property and to abjure violence; 
o 
to strive towards excellence in all spheres of individual and collective activity so that the nation 
constantly rises to higher levels of endeavor and achievement, and 
o 
to provide opportunities for education to his child or ward between the age of six and fourteen years. 
This duty was added by the 86th Constitutional Amendment Act, of 2002.  
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
13                                                                              www.visionias.in                                                   ©Vision IAS  
• 
The list of duties does not cover important duties like casting vote, paying taxes, family planning, 
and so on.   
• 
Hence, option (b) is the correct answer.",1 and 2 only  ,"1, 2 and 3 only ",1 and 4 only  ,2 and 4 only  ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements: 
1. The proclamation of national emergency 
must be approved by both Houses of 
Parliament within two months from the 
date of its issue. 
2. If 
approved 
by 
both 
houses 
of 
Parliament, the emergency continues for 
six months and can be extended to an 
indefinite period with the approval of the 
Parliament every six months. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",b,"• 
The proclamation of national emergency (under Article 352) must be approved by both Houses of 
Parliament within one month from the date of its issue. Originally, the period allowed for approval by the 
Parliament was two months but was reduced by the 44th Amendment Act of 1978. Hence, statement 1 
is not correct. 
• 
However, if the proclamation of emergency is issued at a time when the Lok Sabha has been dissolved or 
the dissolution of the Lok Sabha takes place during the period of one month without approving the 
proclamation, then the proclamation survives until 30 days from the first sitting of the Lok Sabha after its 
reconstitution, provided the Rajya Sabha has in the meantime approved it. 
• 
If approved by both Houses of Parliament, the emergency continues for six months and can be extended 
to an indefinite period with an approval of the Parliament every six months. This provision for 
periodical parliamentary approval was also added by the 44th Amendment Act of 1978. Hence, 
statement 2 is correct.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"In the context of evolution of constitution of 
India, which of the following are part of the 
basic structure of the constitution? 
1. Republic 
and 
democratic 
form 
of 
government 
2. Presidential form of government 
3. Secular character of the constitution 
4. Separation of powers 
Select the correct answer using the code 
given below. 
(a) 1, 2 and 3 only 
(b) 1, 3 and 4 only 
(c) 2 and 4 only 
(d) 1, 2, 3 and 4",b,"• 
In the Kesavananda Bharati case(1973), the Supreme Court overruled its judgement in the Golak Nath 
case (1967). It upheld the validity of the 24th Amendment Act (1971) and stated that Parliament is 
empowered to abridge or take away any of the Fundamental Rights. At the same time, it laid down a new 
doctrine of the ‘basic structure’ of the Constitution. 
• 
It ruled that the constituent power of Parliament under Article 368 does not enable it to alter the ‘basic 
structure’ of the Constitution. This means that the Parliament cannot abridge or take away a Fundamental 
Right that forms a part of the ‘basic structure’ of the Constitution. The doctrine of basic structure of the 
constitution was reaffirmed and applied by the Supreme Court in the Indira Nehru Gandhi case3a (1975). 
• 
Elements of Basic Structure 
o 
Supremacy of the Constitution 
o 
Sovereign, democratic and republican nature of the Indian polity 
o 
Secular character of the Constitution 
o 
Separation of powers between the legislature, the executive and the judiciary 
o 
Federal character of the Constitution 
o 
Unity and integrity of the nation 
o 
Welfare state (socio-economic justice) 
o 
Judicial review 
o 
Freedom and dignity of the individual 
o 
Parliamentary system 
o 
Rule of law 
o 
Harmony and balance between Fundamental Rights and Directive Principles 
o 
Principle of equality 
o 
Free and fair elections 
o 
Independence of Judiciary 
o 
Limited power of Parliament to amend the Constitution 
o 
Effective access to justice 
o 
Principles (or essence) underlying fundamental rights 
o 
Powers of the Supreme Court under Articles 32, 136, 141 and 142 
o 
Powers of the High Courts under Articles 226 and 2277 
• 
Presidential system of government is not part of the basic structure. 
• 
Hence option (b) is the correct answer. 
 
 
 
 
 
 
 
 
 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
14        
    www.visionias.in       
 ©Vision IAS","1, 2 and 3 only ","1, 3 and 4 only ",2 and 4 only ,"1, 2, 3 and 4 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following pairs:  
Feature 
 
Borrowed from 
1. Directive 
principles 
: Irish 
Constitution 
2. Fundamental 
rights 
: French 
Constitution 
3. Joint sitting of 
two houses of 
parliament 
: Australian 
Constitution 
Which of the pairs given above is/are 
correctly matched? 
(a) 1 only 
(b) 2 and 3 only 
(c) 1 and 3 only 
(d) 1, 2 and 3",c,"•
Indian constitution has borrowed many features from various constitutions of the world.
•
Hence option (c) is the correct answer.",1 only ,2 and 3 only ,1 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Which of the following Directive Principles 
of State Policy (DPSPs) were not added by 
the 42nd Constitutional Amendment Act, 
1976?  
1. To provide early childhood care and 
education for all children until they 
complete the age of six years.  
2. To take steps to secure the participation 
of workers in the management of 
industries.  
3. To minimise inequalities in income, 
status, facilities, and opportunities.   
 Select the correct answer using the code 
given below.  
(a) 1 and 2 only  
(b) 2 and 3 only  
(c) 1 and 3 only  
(d) 1, 2 and 3",c,"•
The 42nd Amendment Act of 1976 added four new Directive Principles to the original list. They require
the State:
o
To secure opportunities for the healthy development of children (Article 39).
o
To promote equal justice and to provide free legal aid to the poor (Article 39 A).
o
To take steps to secure the participation of workers in the management of industries (Article 43
A).
o
To protect and improve the environment and to safeguard forests and wildlife (Article 48 A).
•
The 44th Amendment Act of 1978 added one more Directive Principle, which requires the State to
minimise inequalities in income, status, facilities, and opportunities (Article 38).
•
The 86th Amendment Act of 2002 changed the subject matter of Article 45 and made elementary
education a fundamental right under Article 21A. The amended directive requires the State to provide
early childhood care and education for all children until they complete the age of six years.
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
15                                                                              www.visionias.in                                                   ©Vision IAS  
• 
The 97th Amendment Act of 2011 added a new Directive Principle relating to cooperative societies. It 
requires the state to promote voluntary formation, autonomous functioning, democratic control, and 
professional management of cooperative societies (Article 43B).  
• 
Hence, option (c) is the correct answer.",1 and 2 only  ,2 and 3 only  ,1 and 3 only  ,"1, 2 and 3  ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following statements regarding 
the Government of India Act of 1935: 
1. It provided for the establishment of an 
All-India 
Federation 
consisting 
of 
provinces and princely states as units. 
2. It introduced bicameralism in all the 
provinces. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
9                                                             www.visionias.in                                                                                      ©Vision IAS",a,"• 
The Act marked a second milestone towards a completely responsible government in India. It was a 
lengthy and detailed document having 321 Sections and 10 Schedules. 
• 
The features of this Act were as follows: 
o 
It provided for the establishment of an All-India Federation consisting of provinces and 
princely states as units. The Act divided the powers between the Centre and units in terms of 
three lists–Federal List (for Centre, with 59 items), Provincial List (for provinces, with 54 items) and 
the Concurrent List (for both, with 36 items). Hence statement 1 is correct. 
▪ 
Residuary powers were given to the Viceroy. However, the federation never came into being as 
the princely states did not join it. 
o 
It abolished dyarchy in the provinces and introduced ‘provincial autonomy’ in its place. The provinces 
were allowed to act as autonomous units of administration in their defined spheres. 
▪ 
Moreover, the Act introduced responsible Governments in provinces, that is, the Governor was 
required to act with the advice of ministers responsible to the provincial legislature. This came 
into effect in 1937 and was discontinued in 1939. 
o 
It provided for the adoption of dyarchy at the Centre. Consequently, the federal subjects were divided 
into reserved subjects and transferred subjects. However, this provision of the Act did not come into 
operation at all. 
o 
It introduced bicameralism in six out of eleven provinces. Thus, the legislatures of Bengal, 
Bombay, Madras, Bihar, Assam and the United Provinces were made bicameral consisting of a 
legislative council (upper house) and a legislative assembly (lower house). However, many 
restrictions were placed on them. Hence statement 2 is not correct. 
o 
It further extended the principle of communal representation by providing separate electorates for 
depressed classes (Scheduled Castes), women and labour (workers). 
o 
It abolished the Council of India, established by the Government of India Act of 1858. The secretary 
of state for India was provided with a team of advisors. 
o 
It extended franchise. About 10 per cent of the total population got the voting right. 
o 
It provided for the establishment of a Reserve Bank of India to control the currency and credit of the 
country. 
o 
It provided for the establishment of not only a Federal Public Service Commission, but also a 
Provincial Public Service Commission and Joint Public Service Commission for two or more 
provinces. 
o 
It provided for the establishment of a Federal Court, which was set up in 1937.",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"With reference to 'constitutional torts' in 
India, consider the following statements: 
1. In India, there is no legislation, which 
governs the liability of the State for the 
torts committed by its servants. 
2. A court of law can award monetary 
compensation to the victim in such 
cases. 
Which of the statements given above is/are 
correct? 
(a) 1 only 
(b) 2 only 
(c) Both 1 and 2 
(d) Neither 1 nor 2",c,"• 
A ‘constitutional tort’ is a violation of one’s constitutional rights, particularly fundamental rights, by 
an agent of the government, acting in his/her official capacity. 
• 
In India, there is no legislation, which governs the liability of the State for the torts committed by its 
servants. It is Article 300 of the Constitution of India, which enumerates the liability of the Union or 
State in the tortious act of the Government. Hence, statement 1 is correct. 
• 
A court of law can award monetary compensation to the victim in such a case. for eg: in Supreme 
Court in State of Rajasthan V. Mst. Vidyawati Case, the Court ordered the defendant, i.e., the State of 
Rajasthan to pay compensation of Rs. 15,000 to the plaintiff. Hence, statement 2 is correct. 
• 
Recently, Supreme Court Justice Ramasubramanian said “no one can either be taxed or penalized for 
holding an opinion which is not in conformity with the constitutional values. It is only when his opinion 
gets translated into action and such action results in injury or harm or loss that an action in tort 
will lie.""",1 only ,2 only ,Both 1 and 2 ,Neither 1 nor 2 ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"In the context of various political systems 
prevailing in the world, which of the 
following are the characteristics of a 
democracy? 
1. In a democracy, the final decision-
making power must rest with those 
elected by the people. 
2. The ruling party in power must have a 
fair chance of losing in an election. 
3. Each adult citizen must have one vote 
and each vote must have one value. 
4. The Government is not limited by laws 
or regulations. 
Select the correct answer using the code 
given below. 
(a) 1, 2 and 4 only 
(b) 2, 3 and 4 only 
(c) 1, 2 and 3 only 
(d) 1, 3 and 4 only",c,"• 
Democracy is a form of government in which the rulers are elected by the people. Features of democracy 
often include 
o 
freedom of assembly 
o 
association, property rights 
o 
freedom of religion and speech 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
16                                                                              www.visionias.in                                                   ©Vision IAS  
o 
inclusiveness and equality 
o 
citizenship 
o 
consent of the governed 
o 
voting rights 
o 
freedom from unwarranted governmental deprivation of the right to life and liberty, and minority 
rights. 
• 
In some political systems, people may have elected their representatives to the national and provincial 
assemblies but those elected representatives are not really the rulers. They cannot take the final decisions. 
The power to take final decisions rests with other entities like army. This happens in many dictatorships 
and monarchies. 
o 
But in a democracy, the final decision-making power must rest with those elected by the people. 
Hence statement 1 is correct. 
• 
In China, elections are regularly held after every five years for electing the country’s parliament. But these 
are not free and fair as the ruling communist party can never lose. But in a democracy, everyone should 
have an equal opportunity to contest elections and be able to win them if desired by the people. Thus 
ruling party in a democracy must not have any advantage over the opposition parties and must 
have a fair chance of losing elections if desired by the people. Hence statement 2 is correct. 
• 
In Saudi Arabia women do not have the right to vote. Estonia has made its citizenship rules in such a way 
that people belonging to Russian minority find it difficult to get the right to vote.  
• 
Democracy is based on a fundamental principle of political equality. But in a democracy political 
equality is emphasized and each adult citizen must have one vote and each vote must have one 
value. Hence statement 3 is correct. 
• 
In a democracy, everyone should be equal in the eyes of law. People's rights must be protected and a 
democratic government rules within limits set by constitutional law and citizens’ rights. Hence 
statement 4 is not correct.","1, 2 and 4 only ","2, 3 and 4 only ","1, 2 and 3 only ","1, 3 and 4 only ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"Consider the following provisions under the 
Directive Principles of State Policy as 
enshrined in the Indian Constitution: 
1. Securing opportunities for the healthy 
development of children  
2. Organising agriculture on modern and 
scientific lines   
3. Prohibition of slaughter of cows  
4. Promotion of Cooperative societies 
Which of the directive principles given 
above are based on Liberal-Intellectual 
Principles?  
(a) 1 and 2 only  
(b) 2 only  
(c) 2 and 3 only  
(d) 1 and 4 only",b,"• 
 Liberal-Intellectual Principles The principles included in this category represent the ideology of 
liberalism. 
• 
They direct the state: 
o 
To secure for all citizens a uniform civil code throughout the country (Article 44). 
o 
To provide early childhood care and education for all children until they complete the age of six years 
(Article 45). 
o 
To organise agriculture and animal husbandry on modern and scientific lines (Article 48). 
o 
To protect and improve the environment and to safeguard forests and wild life (Article 48 A). 
o 
To protect monuments, places, and objects of artistic or historic interest which are declared to be of 
national importance (Article 49). 
o 
To separate the judiciary from the executive in the public services of the State (Article 50). 
o 
To promote international peace and security and maintain just and honourable relations between 
nations; to foster respect for international law and treaty obligations, and to encourage settlement of 
international disputes by arbitration (Article 51).  
• 
Prohibition of the slaughter of cows and the Promotion of Cooperative societies are based on 
Gandhian ideology.  
• 
Securing opportunities for the healthy development of children is based on an ideology of socialism. 
• 
Hence, option (b) is the correct answer.",1 and 2 only  ,2 only  ,2 and 3 only  ,1 and 4 only  ,,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
"India was a pioneer when it comes to giving 
voting rights to the people. In this context, 
which of the following countries gave 
universal adult franchises after India? 
1. United States of America 
2. Japan 
3. France 
Select the correct answer using the code 
given below. 
(a) 1 only 
(b) 1 and 3 only 
(c) 2 and 3 only 
(d) 1, 2 and 3",a,"• 
In the nineteenth century struggles for democracy often centered around political equality, freedom and 
justice. One major demand was the right for every adult citizen to vote. Many European countries that 
were becoming more democratic did not initially allow all people to vote. 
o 
In some countries only people owning property had the right to vote. Often women did not have the 
right to vote. In the United States of America, the blacks all over the country could not exercise the 
right to vote until 1965. 
• 
India granted Universal Adult Franchise to its citizens in 1950, when the Constitution of India came into 
force declaring India a democratic republic. It is provided under the Article 326 of the Indian Constitution. 
FREE BY KING R QUEEN P [ऋषभ राजपूत]
KING R QUEEN P [Help Others God Will Help You]
 
17                                                                              www.visionias.in                                                   ©Vision IAS  
 
• 
Hence option (a) is the correct answer.",1 only ,1 and 3 only ,2 and 3 only ,"1, 2 and 3 ",,,VISION IAS PRELIMS-2024 _TEST- 01-32.PDF
